,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  70 - 74 Years,74542,66153,60163,53172,46759,46573,48725,48423,47786,45417
  75 - 79 Years,43128,44962,44563,43882,41656,37946,35437,32527,31180,31018
  80 - 84 Years,32997,30690,27997,26719,26440,25900,24391,23454,22713,21864
  85 - 89 Years,19797,18484,17535,16955,16290,15530,14440,13291,12337,11405
  65 Years & Over,278634,264641,250580,237421,224793,212613,200581,188823,177516,166210
  70 Years & Over,183558,172575,161585,151160,140767,134889,131602,125931,121821,117125
  75 Years & Over,109016,106422,101422,97988,94008,88316,82877,77508,74035,71708
  80 Years & Over,65888,61460,56859,54106,52352,50370,47440,44981,42855,40690
  85 Years & Over,32891,30770,28862,27387,25912,24470,23049,21527,20142,18826
  90 Years & Over,13094,12286,11327,10432,9622,8940,8609,8236,7805,7421
Total Indians,362274,362637,360528,358821,356876,354952,353021,351667,351025,349036
  0 - 4 Years,15642,16234,16689,17040,17312,17434,17378,18276,20355,22037
  5 - 9 Years,21425,22171,22990,24252,25415,26269,26878,27413,27311,26880
  10 - 14 Years,26270,26779,26758,26234,25676,25175,24969,24614,24424,24143
  15 - 19 Years,23972,24116,23655,23262,22939,22689,22579,22643,22794,22805
  20 - 24 Years,22316,22280,22268,22405,22438,22501,22452,22273,22169,21844
  25 - 29 Years,23347,23471,23361,23164,22787,22662,23161,23898,25091,26761
  30 - 34 Years,23820,24264,24723,25858,27781,30273,32386,34287,35317,36171
  35 - 39 Years,30431,32131,33661,34578,35342,35478,35755,35697,35813,35490
  40 - 44 Years,34183,34326,34181,34164,33829,33534,32716,31944,31239,30512
  45 - 49 Years,32120,31391,30480,29727,29035,28684,28494,28417,28253,27801
  50 - 54 Years,27475,27322,27280,27019,26523,25955,25726,24990,24324,23466
  55 - 59 Years,24755,24545,23858,23305,22471,21646,20447,19366,18317,17485
  60 - 64 Years,20451,19503,18500,17502,16676,15647,14953,14318,13650,13213
  65 - 69 Years,14577,14063,13432,12797,12372,11230,9759,8575,7440,6427
  70 - 74 Years,10101,8823,7788,6684,5710,5626,5807,5782,5815,5597
  75 - 79 Years,4651,4829,4838,4873,4715,4517,4292,4159,4091,4104
  80 - 84 Years,3461,3310,3178,3160,3171,3097,2996,2931,2789,2639
  85 - 89 Years,2003,1948,1882,1838,1756,1688,1545,1433,1256,1137
  65 Years & Over,36067,34104,32124,30311,28652,27005,25127,23531,21968,20428
  70 Years & Over,21490,20041,18692,17514,16280,15775,15368,14956,14528,14001
  75 Years & Over,11389,11218,10904,10830,10570,10149,9561,9174,8713,8404
  80 Years & Over,6738,6389,6066,5957,5855,5632,5269,5015,4622,4300
  85 Years & Over,3277,3079,2888,2797,2684,2535,2273,2084,1833,1661
  90 Years & Over,1274,1131,1006,959,928,847,728,651,577,524
Total Male Indians,185565,185343,184496,183818,182935,182304,181359,180889,180948,180548
  0 - 4 Years,8074,8327,8571,8703,8635,8621,8530,8983,10015,10916
  5 - 9 Years,10827,11177,11518,12021,12637,13032,13285,13577,13571,13420
  10 - 14 Years,13172,13320,13329,13045,12722,12541,12534,12326,12272,12108
  15 - 19 Years,12054,12114,11849,11678,11463,11319,11241,11232,11362,11332
  20 - 24 Years,11170,11097,11058,11163,11125,11125,11075,10987,10863,10752
  25 - 29 Years,11531,11547,11510,11330,11136,10966,10907,11080,11553,12389
  30 - 34 Years,11486,11477,11541,11997,12869,14105,15296,16555,17505,18481
  35 - 39 Years,14298,15236,16330,17284,18172,18689,19363,19702,20103,20231
  40 - 44 Years,18122,18564,18881,19183,19315,19461,19086,18724,18282,17781
  45 - 49 Years,18577,18201,17731,17277,16798,16484,16192,15948,15624,15156
  50 - 54 Years,15643,15363,15181,14776,14316,13913,13716,13329,13007,12521
  55 - 59 Years,13131,12946,12572,12325,11865,11401,10655,9961,9420,8949
  60 - 64 Years,10646,10013,9365,8848,8377,7808,7494,7124,6712,6474
  65 - 69 Years,7139,6899,6543,6170,5945,5412,4686,4166,3588,3128
  70 - 74 Years,4705,4100,3652,3100,2656,2614,2687,2641,2639,2508
  75 - 79 Years,2047,2091,2052,2055,1970,1882,1767,1778,1835,1948
  80 - 84 Years,1309,1276,1280,1319,1408,1468,1505,1538,1487,1434
  85 - 89 Years,879,918,930,942,929,927,871,823,711,664
  65 Years & Over,16834,15961,15060,14188,13505,12839,11985,11361,10659,10038
  70 Years & Over,9695,9062,8517,8018,7560,7427,7299,7195,7071,6910
  75 Years & Over,4990,4962,4865,4918,4904,4813,4612,4554,4432,4402
  80 Years & Over,2943,2871,2813,2863,2934,2931,2845,2776,2597,2454
  85 Years & Over,1634,1595,1533,1544,1526,1463,1340,1238,1110,1020
  90 Years & Over,755,677,603,602,597,536,469,415,399,356
Total Female Indians,176709,177294,176032,175003,173941,172648,171662,170778,170077,168488
  0 - 4 Years,7568,7907,8118,8337,8677,8813,8848,9293,10340,11121
